( time_0001 "Tadaima, ichi ji go pun gurai, go zen desu." )
( time_0002 "Tadaima, ni ji ju pun gurai, go zen desu." )
( time_0003 "Tadaima, san ji ju go pun gurai, go zen desu." )
( time_0004 "Tadaima, yon ji ni ju pun gurai, go zen desu." )
( time_0005 "Tadaima, go ji ni ju go pun gurai, go zen desu." )
( time_0006 "Tadaima, roku ji han gurai, go zen desu." )
( time_0007 "Tadaima, nana ji san ju go pun gurai, go go desu." )
( time_0008 "Tadaima, hachi ji yon ju pun gurai, go go desu." )
( time_0009 "Tadaima, ku ji yon ju go pun gurai, go go desu." )
( time_0010 "Tadaima, ju ji go ju pun gurai, go go desu." )
( time_0011 "Tadaima, ju ichi ji go ju go pun gurai, go go desu." )
( time_0012 "Tadaima, ju ni ji gurai, go go desu." )
