,LANGID,TLC,WIKI,START,LAT,LONG,#utt0,MCD0,#utt1,MCD1,Dur,MCDB,MCDR,NAME
0,ABIWBT,abi,https://en.wikipedia.org/wiki/Abidji_language,http://listen.bible.is/ABIWBT/Matt/1/N,5.65656,-4.58421,4482,7.75,10538,6.27,16:18:58,5.09,4.94,Abidji
1,AC1IBS,ace,https://en.wikipedia.org/wiki/Acehnese_language,http://listen.bible.is/AC1IBS/Matt/1,3.90757,96.6032,6674,7.71,12881,6.51,23:46:27,5.42,5.31,Aceh
2,ACCIBS,acr,https://en.wikipedia.org/wiki/Achi_language,http://listen.bible.is/ACCIBS/Matt/1/N,15.073,-90.3513,11121,7.07,15777,6.15,18:04:57,5.15,4.94,Achi de Cubulco
3,ACDWBT,acd,https://en.wikipedia.org/wiki/Kyode_language,http://listen.bible.is/ACDWBT/Matt/1,8.39478,0.56975,1901,8.16,14091,7.73,27:39:10,5.99,5.78,Gikyode
4,ACHBSU,ach,https://en.wikipedia.org/wiki/Acoli_dialect,http://listen.bible.is/ACHBSU/Matt/1/D,3.57738,32.5147,7128,7.35,8287,6.80,14:40:52,5.73,5.60,Acholi
5,ACMAS3,acm,https://en.wikipedia.org/wiki/Arabic,http://listen.bible.is/ACMAS3/Matt/1/D,33.8178,43.1095,671,8.38,1373,8.29,03:48:00,8.38,8.08,العربية
6,ACNBSM,acn,https://en.wikipedia.org/wiki/Achang_language,http://listen.bible.is/ACNBSM/Matt/1/D,24.3479,97.7438,8645,6.91,12382,6.14,24:17:44,5.38,5.27,Ngochang
7,QUJPMC,quc,https://en.wikipedia.org/wiki/K%27iche%27_language,http://listen.bible.is/QUJPMC/Matt/1/D,14.5278,-91.1696,9271,7.73,17678,6.42,26:34:06,5.14,5.05,"Quiche, Joyabaj"
8,ACUTBL,acu,https://en.wikipedia.org/wiki/Shiwiar_language,http://listen.bible.is/ACUTBL/Matt/1/D,-2.82646,-77.2641,18494,6.32,21189,6.24,32:42:58,4.44,4.34,Achuar-Shiwiar
9,ADETBL,ade,https://en.wikipedia.org/wiki/Adele_language,http://listen.bible.is/ADETBL/Matt/1/D,8.16975,0.619185,2470,7.86,10633,6.88,22:41:41,6.08,5.86,Adele
10,ADHBSU,adh,https://en.wikipedia.org/wiki/Adhola_dialect,http://listen.bible.is/ADHBSU/Matt/1/D,0.73235,34.0341,7815,7.32,11378,6.52,19:38:51,5.59,5.37,Dhopadhola
11,ADJWBT,adj,https://en.wikipedia.org/wiki/Adjukru_language,http://listen.bible.is/ADJWBT/Matt/1/D,5.38228,-4.52522,2505,8.59,4273,7.42,06:43:23,6.69,6.41,Adioukrou
12,AEUWBT,aeu,https://en.wikipedia.org/wiki/Akeu_language,http://listen.bible.is/AEUWBT/Matt/1/N,22,100,6711,7.39,10600,6.94,23:29:49,4.32,4.22,Akeu
13,AGNWPS,agn,https://en.wikipedia.org/wiki/Agutaynen_language,http://listen.bible.is/AGNWPS/Matt/1/D,10.5328,119.655,11718,7.09,14433,6.08,24:30:40,4.94,4.83,Agutaynen
14,AGRTBL,agr,https://en.wikipedia.org/wiki/Aguaruna_language,http://listen.bible.is/AGRTBL/Matt/1/D,-5.30044,-77.9218,12266,6.81,14331,6.43,26:12:32,5.35,5.24,Awajun
15,AGUNVS,agu,https://en.wikipedia.org/wiki/Awakatek_language,http://listen.bible.is/AGUNVS/Matt/1/N,15.3307,-91.3153,16911,6.40,18461,5.81,22:32:02,4.78,4.64,Aguacateco
16,AHKTBS,ahk,https://en.wikipedia.org/wiki/Akha_language,http://listen.bible.is/AHKTBS/Matt/1/D,21.2309,100.964,2389,7.49,10973,6.98,21:42:30,5.53,5.39,Akha
17,AIAWYI,aia,https://en.wikipedia.org/wiki/Arosi_language,http://listen.bible.is/AIAWYI/Matt/1/D,-10.2441,161.432,11276,6.69,13896,5.59,23:35:33,4.53,4.44,Arosi
18,AK1BSG,aka,https://en.wikipedia.org/wiki/Akan_language,http://listen.bible.is/AK1BSG/Matt/1/D,6.34756,-1.33254,7628,8.00,8364,7.81,14:30:19,5.54,5.38,Akan: Akuapem
19,AKEBSS,ake,https://en.wikipedia.org/wiki/Kap%C3%B3ng_language,http://listen.bible.is/AKEBSS/Matt/1/D,6.16277,-60.862,3470,9.63,11303,8.34,23:40:25,7.17,6.94,Akawaio
20,AKPWBT,akp,https://en.wikipedia.org/wiki/Siwu_language,http://listen.bible.is/AKPWBT/Matt/1/D,7.23811,0.44362,2573,7.70,10721,6.33,18:53:34,5.78,5.58,Siwu
21,ALJOMF,alj,https://en.wikipedia.org/wiki/Alangan_language,http://listen.bible.is/ALJOMF/Matt/1/D,13.0982,121.022,12366,6.31,13959,5.93,22:53:23,5.09,4.98,Alangan
22,ALPWBT,alp,https://en.wikipedia.org/wiki/Alune_language,http://listen.bible.is/ALPWBT/Matt/1/D,-3.11477,128.394,9737,6.92,11048,6.30,18:25:45,5.36,5.22,Alune
23,ALSBSA,alb,https://en.wikipedia.org/wiki/Albanian_language,http://listen.bible.is/ALSBSA/Matt/1/D,41,20,1545,8.22,5060,6.98,08:27:54,5.93,5.73,Shqip
24,ALTIBT,alt,https://en.wikipedia.org/wiki/Altai_language,http://listen.bible.is/ALTIBT/Matt/1/D,50.1347,86.8705,624,7.86,4969,7.16,09:23:27,5.32,5.19,"Altai, Southern"
25,ALZBSU,alz,https://en.wikipedia.org/wiki/Alur_language,http://listen.bible.is/ALZBSU/Matt/1/D,2.36213,31.0016,7369,7.90,11897,7.31,20:25:33,6.28,5.99,Alur
26,AMFSIM,amf,https://en.wikipedia.org/wiki/Hamer_language,http://listen.bible.is/AMFSIM/Matt/1/D,5.06515,36.5176,9955,6.78,10292,6.49,17:18:36,5.48,5.31,Banna
27,AMKWBT,amk,https://en.wikipedia.org/wiki/Ambai_language,http://listen.bible.is/AMKWBT/Matt/1/D,-1.88126,136.526,11848,nan,13194,5.42,31:22:37,4.50,4.42,Ambai
28,ANNWBT,ann,https://en.wikipedia.org/wiki/Obolo_language,http://listen.bible.is/ANNWBT/Matt/1/D,4.62851,7.81985,4593,8.40,3555,8.47,09:22:14,7.80,7.49,Obolo
29,ANVWBT,anv,https://en.wikipedia.org/wiki/Denya_language,http://listen.bible.is/ANVWBT/Matt/1/D,5.97237,9.39989,1380,7.70,6813,6.66,14:19:13,6.08,5.84,Denya
30,APDAS2,apd,https://en.wikipedia.org/wiki/Sudanese_Arabic,http://listen.bible.is/APDAS2/Matt/1/D,17.8021,33.3179,623,7.79,2475,8.03,06:18:51,7.69,7.36,العربية
31,APRWBT,apr,https://en.wikipedia.org/wiki/Arop-Lokep_language,http://listen.bible.is/APRWBT/Matt/1/N,-5.31671,147.103,13084,6.13,14944,6.21,30:52:28,4.52,4.41,Arop-Lokep
32,ARBIBS,arb,https://en.wikipedia.org/wiki/Modern_Standard_Arabic,http://listen.bible.is/ARBIBS/Matt/1/D,27.9625,43.8525,520,8.44,2225,7.91,06:00:54,7.76,7.45,العربية
33,ARZVDV,arz,https://en.wikipedia.org/wiki/Egyptian_Arabic,http://listen.bible.is/ARZVDV/Matt/1/D,31.0,31.0,644,8.14,7217,7.36,16:25:54,6.32,6.14,العربية
